timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1594391576355,96,Home,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-999,,true,,6711,226,40,40,null,0,209,0
1594391576342,55,Home,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-990,,true,,6711,226,40,40,null,0,263,0
1594391576559,96,Home-0,200,,jp@gc - Ultimate Thread Group 1-999,text,true,,6711,226,40,40,http://localhost:8082/,95,0,71
1594391576600,55,Home-0,200,,jp@gc - Ultimate Thread Group 1-990,text,true,,6711,226,40,40,http://localhost:8082/,53,0,30
1594391576340,75,Home,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-986,,true,,6711,226,40,40,null,0,245,0
1594391576580,75,Home-0,200,,jp@gc - Ultimate Thread Group 1-986,text,true,,6711,226,40,40,http://localhost:8082/,73,0,50
1594391576353,5,Home,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-998,,true,,6711,226,41,41,null,0,347,0
1594391576699,5,Home-0,200,,jp@gc - Ultimate Thread Group 1-998,text,true,,6711,226,41,41,http://localhost:8082/,5,0,2
1594391576330,4,Home,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-974,,true,,6711,226,43,43,null,0,428,0
1594391576758,4,Home-0,200,,jp@gc - Ultimate Thread Group 1-974,text,true,,6711,226,43,43,http://localhost:8082/,4,0,2
1594391576825,3,Home,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-955,,true,,6711,226,48,48,null,0,67,0
1594391576892,3,Home-0,200,,jp@gc - Ultimate Thread Group 1-955,text,true,,6711,226,48,48,http://localhost:8082/,3,0,1
1594391576348,2,Home,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-994,,true,,6711,226,49,49,null,0,573,0
1594391576920,2,Home-0,200,,jp@gc - Ultimate Thread Group 1-994,text,true,,6711,226,49,49,http://localhost:8082/,2,0,0
1594391576856,3,Home,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-954,,true,,6711,226,51,51,null,0,121,0
1594391576976,3,Home-0,200,,jp@gc - Ultimate Thread Group 1-954,text,true,,6711,226,51,51,http://localhost:8082/,3,0,1
1594391576376,3,Home,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-970,,true,,6711,226,51,51,null,0,603,0
1594391576979,3,Home-0,200,,jp@gc - Ultimate Thread Group 1-970,text,true,,6711,226,51,51,http://localhost:8082/,3,0,1
1594391576331,3,Home,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-980,,true,,6711,226,52,52,null,0,682,0
1594391577012,3,Home-0,200,,jp@gc - Ultimate Thread Group 1-980,text,true,,6711,226,52,52,http://localhost:8082/,3,0,1
1594391576946,3,Home,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-951,,true,,6711,226,54,54,null,0,129,0
1594391577075,3,Home-0,200,,jp@gc - Ultimate Thread Group 1-951,text,true,,6711,226,54,54,http://localhost:8082/,3,0,1
1594391576347,3,Home,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-992,,true,,6711,226,54,54,null,0,743,0
1594391577090,3,Home-0,200,,jp@gc - Ultimate Thread Group 1-992,text,true,,6711,226,54,54,http://localhost:8082/,3,0,1
1594391576330,3,Home,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-977,,true,,6711,226,55,55,null,0,776,0
1594391577106,3,Home-0,200,,jp@gc - Ultimate Thread Group 1-977,text,true,,6711,226,55,55,http://localhost:8082/,3,0,1
1594391576330,3,Home,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-976,,true,,6711,226,57,57,null,0,833,0
1594391577163,3,Home-0,200,,jp@gc - Ultimate Thread Group 1-976,text,true,,6711,226,57,57,http://localhost:8082/,2,0,1
1594391576706,3,Home,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-959,,true,,6711,226,59,59,null,0,517,0
1594391577223,3,Home-0,200,,jp@gc - Ultimate Thread Group 1-959,text,true,,6711,226,59,59,http://localhost:8082/,3,0,1
1594391577275,3,Home,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-940,,true,,6711,226,61,61,null,0,20,0
1594391577295,3,Home-0,200,,jp@gc - Ultimate Thread Group 1-940,text,true,,6711,226,61,61,http://localhost:8082/,3,0,1
1594391576337,3,Home,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-982,,true,,6711,226,63,63,null,0,997,0
1594391577333,3,Home-0,200,,jp@gc - Ultimate Thread Group 1-982,text,true,,6711,226,63,63,http://localhost:8082/,3,0,1
1594391576647,2,Home,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-961,,true,,6711,226,64,64,null,0,730,0
1594391577376,2,Home-0,200,,jp@gc - Ultimate Thread Group 1-961,text,true,,6711,226,64,64,http://localhost:8082/,2,0,1
1594391576576,2,Home,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-964,,true,,6711,226,66,66,null,0,869,0
1594391577445,2,Home-0,200,,jp@gc - Ultimate Thread Group 1-964,text,true,,6711,226,66,66,http://localhost:8082/,2,0,0
1594391576331,3,Home,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-979,,true,,6711,226,67,67,null,0,1122,0
1594391577452,3,Home-0,200,,jp@gc - Ultimate Thread Group 1-979,text,true,,6711,226,66,66,http://localhost:8082/,3,0,1
1594391576350,3,Home,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-996,,true,,6711,226,68,68,null,0,1147,0
1594391577497,3,Home-0,200,,jp@gc - Ultimate Thread Group 1-996,text,true,,6711,226,68,68,http://localhost:8082/,3,0,1
1594391577185,4,Home,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-943,,true,,6711,226,69,69,null,0,333,0
1594391577518,4,Home-0,200,,jp@gc - Ultimate Thread Group 1-943,text,true,,6711,226,69,69,http://localhost:8082/,4,0,2
1594391576796,3,Home,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-956,,true,,6711,226,71,71,null,0,778,0
1594391577574,3,Home-0,200,,jp@gc - Ultimate Thread Group 1-956,text,true,,6711,226,71,71,http://localhost:8082/,3,0,0
1594391576342,3,Home,200,"Number of samples in transaction : 1, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-989,,true,,6711,226,71,71,null,0,1237,0
1594391577016,110,login,200,"Number of samples in transaction : 2, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-980,,true,,18670,862,71,71,null,0,456,0
1594391577579,3,Home-0,200,,jp@gc - Ultimate Thread Group 1-989,text,true,,6711,226,71,71,http://localhost:8082/,3,0,1
1594391577202,2,login-0,200,,jp@gc - Ultimate Thread Group 1-980,text,true,,4977,231,58,58,http://localhost:8082/login,2,0,0
